,dataset,max_time_mins,sampling_ratio0.0001,sampling_ratio0.001,sampling_ratio0.01,sampling_ratio0.05,sampling_ratio0.1,sampling_ratio0.15,sampling_ratio0.2,sampling_ratio0.3,sampling_ratio0.5,sampling_ratio1.0
GaussianNB,1169,5,0.036827104749095334,0.029103359726086027,0.02875580210573984,0.05229960578186597,0.043202033036848796,0.05533117932148627,0.057684862562911346,0.04561824729891957,0.04261206419479801,0.04863424383744171
RandomForestClassifier,1169,5,0.07397444519166106,0.11694842713460304,0.13019359221102683,0.0759526938239159,0.06289707750952986,0.06663974151857835,0.053426248548199766,0.046218487394957986,0.0448256779192031,0.07461692205196535
MinMaxScaler,1169,5,0.01991866013385852,0.02102503744917612,0.020151703837880675,0.021813403416557162,0.02573062261753494,0.01332794830371567,0.015098722415795587,0.009603841536614645,0.016048699501936912,0.01798800799467022
XGBClassifier,1169,5,0.0322477343324687,0.05708324416862829,0.13528812408015398,0.11957950065703023,0.13627700127064804,0.09491114701130857,0.08788230739450252,0.09123649459783914,0.09186496956281129,0.09060626249167222
MultinomialNB,1169,5,0.06484772792775483,0.02230900920179756,0.0382655949281105,0.04678055190538765,0.04383735705209657,0.03998384491114701,0.04645760743321719,0.07082833133253301,0.07138904261206419,0.04863424383744171
KNeighborsClassifier,1169,5,0.05716207128446537,0.020971538626150223,0.01811389109022982,0.046517739816031536,0.054637865311308764,0.07310177705977383,0.05807200929152149,0.062424969987995196,0.05866076369673492,0.06462358427714857
GradientBoostingClassifier,1169,5,0.05597719921862491,0.06419858763107211,0.09283369183742783,0.08199737187910644,0.06321473951715374,0.08037156704361874,0.06736353077816493,0.06062424969987995,0.06364139457664637,0.06395736175882745
FastICA,1169,5,0.007045185256348673,0.008078322276909909,0.00905694554511491,0.012352168199737189,0.014612452350698857,0.011308562197092083,0.005807200929152149,0.024009603841536616,0.008301051466519093,0.014656895403064623
BernoulliNB,1169,5,0.03759567041342428,0.0358442114273486,0.05717196875353787,0.06544021024967149,0.05432020330368488,0.062197092084006464,0.06658923732094464,0.08763505402160865,0.07470946319867183,0.06129247168554297
LinearSVC,1169,5,0.023024946360521343,0.010646265782152792,0.020717762934450358,0.01971090670170828,0.027318932655654382,0.027463651050080775,0.024003097173828883,0.03601440576230492,0.04703929164360819,0.03397734843437708
MLPClassifier,1169,5,0.051654017356774586,0.02653541622084314,0.03532208762594815,0.04572930354796321,0.04351969504447268,0.049676898222940226,0.06194347657762292,0.056422569027611044,0.04814609850581074,0.072618254497002
DecisionTreeClassifier,1169,5,0.13959073878374484,0.1814680077038305,0.05083210687195743,0.05597897503285151,0.08163913595933926,0.09652665589660743,0.10143244289585752,0.05942376950780312,0.06198118428334256,0.06995336442371752
Binarizer,1169,5,0.009639094373458865,0.00888080462229831,0.007132344616777991,0.009986859395532195,0.00698856416772554,0.008481421647819063,0.009291521486643438,0.009603841536614645,0.01162147205312673,0.010659560293137908
Normalizer,1169,5,0.008198033752842091,0.008613310507168842,0.010868334654137892,0.016557161629434953,0.015247776365946633,0.017366720516962843,0.02051877661633759,0.013805522208883553,0.014388489208633094,0.012658227848101266
RFE,1169,5,0.012457168475998336,0.011769741065696554,0.008717310087173101,0.011038107752956636,0.01238881829733164,0.011712439418416801,0.007742934572202865,0.013805522208883553,0.011068068622025456,0.011992005329780146
LogisticRegression,1169,5,0.012136932782527941,0.008666809330194735,0.009283369183742783,0.008935611038107753,0.012706480304955527,0.014135702746365105,0.017421602787456445,0.018607442977190875,0.01992252351964582,0.015323117921385743
SGDClassifier,1169,5,0.06193358311717424,0.031885298523432484,0.025699082984263558,0.04625492772667543,0.046060991105463786,0.036752827140549275,0.0545876887340302,0.055222088835534214,0.0957387935805202,0.07728181212524983
ExtraTreesClassifier,1169,5,0.031287027252057516,0.11197303659319495,0.13064643948828258,0.12325886990801577,0.11626429479034307,0.0864297253634895,0.09988385598141696,0.09663865546218488,0.06253458771444383,0.07528314457028648
ZeroCount,1169,5,0.012361097767957217,0.021453028033383264,0.01777425563228801,0.017871222076215505,0.015565438373570521,0.017366720516962843,0.019744483159117306,0.014405762304921969,0.011068068622025456,0.008660892738174551
OneHotEncoder,1169,5,0.01591571396547859,0.028782366787930665,0.020378127476508547,0.016031537450722732,0.016836086404066072,0.018578352180936994,0.018970189701897018,0.019807923169267706,0.022689540675152185,0.018654230512991338
SelectPercentile,1169,5,0.02270471066705095,0.012732719880162637,0.009623004641684592,0.010249671484888305,0.006670902160101652,0.011712439418416801,0.006581494386372435,0.010804321728691477,0.013281682346430549,0.008660892738174551
RobustScaler,1169,5,0.02196816857206904,0.02648191739781725,0.013472206498358428,0.008935611038107753,0.010165184243964422,0.010096930533117932,0.009291521486643438,0.009603841536614645,0.01162147205312673,0.012658227848101266
MaxAbsScaler,1169,5,0.011816697089057547,0.021934517440616308,0.023774482055926638,0.013140604467805518,0.010800508259212199,0.015347334410339256,0.013550135501355014,0.01800720288115246,0.01162147205312673,0.007994670219853431
RBFSampler,1169,5,0.061773465270439046,0.006633854055210785,0.006113438242952564,0.005781865965834429,0.007306226175349428,0.009289176090468497,0.007355787843592722,0.007202881152460984,0.012174875484228001,0.008660892738174551
StandardScaler,1169,5,0.008358151599577288,0.0252514444682217,0.017887467451601947,0.014980289093298292,0.018424396442185513,0.014135702746365105,0.012775842044134728,0.009603841536614645,0.009407858328721638,0.012658227848101266
VarianceThreshold,1169,5,0.016428091075031223,0.014230686924887652,0.010981546473451828,0.010512483574244415,0.008894536213468869,0.01050080775444265,0.013937282229965157,0.010804321728691477,0.012728278915329275,0.014656895403064623
SelectFromModel,1169,5,0.0027860505331924294,0.0055638775946929165,0.0010189063738254274,0.002102496714848883,0.0022236340533672173,0.0016155088852988692,0.00038714672861014324,,0.002213613724405091,0.0006662225183211193
PolynomialFeatures,1169,5,0.01985461299516444,0.017440616306441257,0.014943960149439602,0.01366622864651774,0.010165184243964422,0.012924071082390954,0.01084010840108401,0.016206482593037214,0.014388489208633094,0.013990672884743505
