,dataset,max_time_mins,sampling_ratio0.05,sampling_ratio0.1,sampling_ratio0.15,sampling_ratio0.2,sampling_ratio0.3,sampling_ratio0.5,sampling_ratio1.0
GaussianNB,12,5,0.0425026399155227,0.05960684844641725,0.08011399620012666,0.04992050874403815,0.06335445148382794,0.054924242424242424,0.04829308909242298
RandomForestClassifier,12,5,0.08025343189017951,0.07419150285351934,0.09531348955034832,0.08235294117647059,0.07602534178059353,0.08743686868686869,0.06078268109908409
MinMaxScaler,12,5,0.024551214361140442,0.0212428662016487,0.01044965167827739,0.018441971383147855,0.01800600200066689,0.019886363636363636,0.00791007493755204
XGBClassifier,12,5,0.05728616684266104,0.05072923272035511,0.05573147561747942,0.06677265500794913,0.0800266755585195,0.10037878787878787,0.08492922564529559
MultinomialNB,12,5,0.10242872228088701,0.08623969562460368,0.05668144395186827,0.058823529411764705,0.06368789596532178,0.04703282828282828,0.05412156536219817
KNeighborsClassifier,12,5,0.06678986272439282,0.05580215599239061,0.06459784673844206,0.07599364069952305,0.07302434144714905,0.06218434343434343,0.07410491257285595
LinearSVC,12,5,0.06573389651531152,0.07767913760304375,0.055098163394553513,0.046104928457869634,0.042347449149716575,0.06439393939393939,0.0678601165695254
SelectFwe,12,5,0.03194297782470961,0.016804058338617627,0.022482583913869536,0.02003179650238474,0.0213404468156052,0.01893939393939394,0.01623646960865945
Nystroem,12,5,0.007391763463569166,0.01046290424857324,0.009499683343888538,0.009538950715421303,0.009003001000333445,0.010416666666666666,0.009159034138218152
ExtraTreesClassifier,12,5,0.05728616684266104,0.08370323398858592,0.0915136162127929,0.11351351351351352,0.10836945648549516,0.09911616161616162,0.0861781848459617
BernoulliNB,12,5,0.04303062302006336,0.04882688649334179,0.050031665611146296,0.0534181240063593,0.05635211737245749,0.04482323232323232,0.05245628642797669
SGDClassifier,12,5,0.05042238648363252,0.044705136334812934,0.046865104496516784,0.046740858505564385,0.046348782927642544,0.039141414141414144,0.060366361365528726
GradientBoostingClassifier,12,5,0.06573389651531152,0.08148383005707038,0.08454718176060798,0.07344992050874403,0.04934978326108703,0.045454545454545456,0.0649458784346378
DecisionTreeClassifier,12,5,0.04461457233368532,0.04438807863031072,0.03578214059531349,0.045151033386327505,0.04001333777925975,0.039457070707070704,0.052872606161532054
MLPClassifier,12,5,0.0472544878563886,0.04438807863031072,0.03324889170360988,0.03751987281399046,0.05235078359453151,0.047979797979797977,0.05745212323064113
Binarizer,12,5,0.012407602956705385,0.011731135066582118,0.010766307789740342,0.011446740858505564,0.009003001000333445,0.007575757575757576,0.011240632805995004
MaxAbsScaler,12,5,0.014519535374868005,0.011414077362079899,0.01266624445851805,0.013036565977742448,0.012004001333777926,0.015782828282828284,0.019150707743547043
FastICA,12,5,0.007391763463569166,0.007609384908053266,0.008233058898036731,0.009538950715421303,0.010336778926308769,0.01672979797979798,0.014571190674437969
OneHotEncoder,12,5,0.013463569165786695,0.019974635383639822,0.016782773907536415,0.0178060413354531,0.016005335111703902,0.024305555555555556,0.019983347210657785
RobustScaler,12,5,0.011615628299894404,0.007292327203551046,0.015199493350221659,0.008267090620031796,0.014338112704234745,0.017676767676767676,0.009575353871773521
SelectPercentile,12,5,0.01187961985216473,0.007609384908053266,0.011082963901203294,0.011764705882352941,0.010336778926308769,0.009785353535353536,0.01706910907577019
StandardScaler,12,5,0.010295670538542767,0.016804058338617627,0.011082963901203294,0.020349761526232114,0.012670890296765588,0.008838383838383838,0.00749375520399667
PCA,12,5,0.008183738120380148,0.006658211794546607,0.011082963901203294,0.008267090620031796,0.013337779259753251,0.009154040404040404,0.01665278934221482
RFE,12,5,0.016103484688489968,0.01585288522511097,0.015832805573147563,0.018441971383147855,0.009336445481827277,0.016414141414141416,0.01582014987510408
LogisticRegression,12,5,0.020327349524815207,0.016169942929613188,0.019632678910702975,0.018124006359300476,0.019006335445148383,0.032196969696969696,0.012905911740216486
Normalizer,12,5,0.015575501583949313,0.014901712111604312,0.014566181127295756,0.016534181240063592,0.012004001333777926,0.007575757575757576,0.014154870940882597
PolynomialFeatures,12,5,0.01900739176346357,0.012999365884590995,0.009499683343888538,0.010810810810810811,0.012337445815271757,0.006944444444444444,0.0062447960033305576
VarianceThreshold,12,5,0.022439281942977826,0.016169942929613188,0.01773274224192527,0.00985691573926868,0.018672890963654553,0.01452020202020202,0.010824313072439634
ZeroCount,12,5,0.009503695881731784,0.019974635383639822,0.013616212792906902,0.013036565977742448,0.01633877959319773,0.011994949494949494,0.009159034138218152
RBFSampler,12,5,0.008183738120380148,0.004755865567533291,0.008233058898036731,0.008267090620031796,0.006668889629876626,0.011363636363636364,0.009991673605328892
FeatureAgglomeration,12,5,0.0034318901795142554,0.00538998097653773,0.0034832172260924636,0.004133545310015898,0.005001667222407469,0.003787878787878788,0.0029142381348875937
CombineDFs,12,5,0.008183738120380148,0.004438807863031071,0.006649778340721976,0.0025437201907790143,0.00266755585195065,0.003787878787878788,0.004579517069109076
SelectFromModel,12,5,0.00026399155227032733,,0.0018999366687777073,,0.00033344448149383126,,
total_operators,12,5,3788.0,3154.0,3158.0,3145.0,2999.0,3168.0,2402.0
total_pipelines,12,5,2101.0,1799.0,1819.0,1807.0,1709.0,1815.0,1443.0
