,dataset,max_time_mins,sampling_ratio0.1,sampling_ratio0.15,sampling_ratio0.2,sampling_ratio0.3,sampling_ratio0.5,sampling_ratio1.0
GaussianNB,1468,5,0.08162132148806218,0.08183262711864407,0.07958380202474691,0.07870499581356405,0.07584905660377358,0.05097765363128492
RandomForestClassifier,1468,5,0.042754025541365905,0.048728813559322036,0.051181102362204724,0.050795422830030704,0.05622641509433962,0.05097765363128492
MinMaxScaler,1468,5,0.02637423653525819,0.01694915254237288,0.021653543307086614,0.017862126709461346,0.016226415094339624,0.018854748603351956
XGBClassifier,1468,5,0.04830649639089395,0.0413135593220339,0.049775028121484814,0.05470276304772537,0.05132075471698113,0.0513268156424581
MultinomialNB,1468,5,0.055247084952804,0.060646186440677964,0.06242969628796401,0.07312308121685739,0.06415094339622641,0.07995810055865922
KNeighborsClassifier,1468,5,0.04747362576346474,0.04184322033898305,0.04611923509561305,0.04605079542283003,0.04339622641509434,0.05446927374301676
LinearSVC,1468,5,0.03609106052193226,0.036016949152542374,0.048087739032620924,0.039073402176946694,0.04150943396226415,0.051675977653631286
SelectFwe,1468,5,0.011937812326485286,0.013241525423728813,0.011529808773903262,0.014233882221602009,0.017358490566037735,0.011871508379888268
Nystroem,1468,5,0.006662965019433648,0.0066207627118644065,0.011811023622047244,0.012559307842590009,0.009433962264150943,0.009427374301675978
ExtraTreesClassifier,1468,5,0.0555247084952804,0.05349576271186441,0.033183352080989874,0.05554005023723137,0.0430188679245283,0.0356145251396648
BernoulliNB,1468,5,0.060244308717379236,0.055614406779661014,0.0688976377952756,0.05944739045492604,0.0649056603773585,0.07611731843575419
SGDClassifier,1468,5,0.10855080510827318,0.1403601694915254,0.12373453318335208,0.12531398269606475,0.12943396226415094,0.12744413407821228
RobustScaler,1468,5,0.015824541921154914,0.019067796610169493,0.015748031496062992,0.013675690761931342,0.018867924528301886,0.019553072625698324
MLPClassifier,1468,5,0.083564686285397,0.07733050847457627,0.08661417322834646,0.07898409154339939,0.06641509433962264,0.06319832402234637
DecisionTreeClassifier,1468,5,0.05774569683509161,0.059322033898305086,0.06158605174353206,0.054981858777560705,0.062264150943396226,0.05027932960893855
LogisticRegression,1468,5,0.03192670738478623,0.02754237288135593,0.027277840269966255,0.017303935249790677,0.016226415094339624,0.0178072625698324
GradientBoostingClassifier,1468,5,0.04913936701832315,0.04290254237288135,0.03402699662542182,0.040189785096288025,0.04905660377358491,0.057960893854748605
MaxAbsScaler,1468,5,0.017212659633536923,0.02065677966101695,0.020528683914510685,0.020373988277979347,0.016226415094339624,0.025139664804469275
FastICA,1468,5,0.010272071071626874,0.009004237288135594,0.008155230596175478,0.009489254814401339,0.01169811320754717,0.010824022346368716
SelectPercentile,1468,5,0.027484730705163798,0.023834745762711863,0.022778402699662543,0.020094892548144012,0.02339622641509434,0.033868715083798885
ZeroCount,1468,5,0.011382565241532482,0.011387711864406779,0.012092238470191226,0.008931063354730673,0.013962264150943397,0.009776536312849162
SelectFromModel,1468,5,0.00555247084952804,0.0034427966101694915,0.00421822272215973,0.0033491487580240022,0.0033962264150943396,0.0034916201117318434
VarianceThreshold,1468,5,0.010827318156579679,0.010328389830508475,0.009280089988751405,0.013954786491766676,0.011320754716981131,0.00558659217877095
Normalizer,1468,5,0.014714047751249307,0.014036016949152543,0.0140607424071991,0.018141222439296677,0.013207547169811321,0.010125698324022346
PCA,1468,5,0.01249305941143809,0.015095338983050847,0.012935883014623173,0.017024839519955346,0.009433962264150943,0.007681564245810056
RBFSampler,1468,5,0.007495835646862854,0.006885593220338983,0.0064679415073115865,0.004186435947530003,0.00830188679245283,0.006634078212290503
PolynomialFeatures,1468,5,0.00971682398667407,0.00847457627118644,0.007874015748031496,0.007535584705554005,0.012075471698113207,0.01047486033519553
FeatureAgglomeration,1468,5,0.004719600222098834,0.005031779661016949,0.003655793025871766,0.0025118615685180016,0.004905660377358491,0.005237430167597765
Binarizer,1468,5,0.008051082731815658,0.006885593220338983,0.007311586051743532,0.006977393245883338,0.007169811320754717,0.00558659217877095
StandardScaler,1468,5,0.012215435868961688,0.009533898305084746,0.009280089988751405,0.006977393245883338,0.00830188679245283,0.009078212290502794
OneHotEncoder,1468,5,0.01693503609106052,0.012711864406779662,0.011529808773903262,0.012559307842590009,0.01660377358490566,0.013966480446927373
RFE,1468,5,0.00971682398667407,0.01641949152542373,0.012935883014623173,0.011722020653084008,0.007924528301886792,0.011871508379888268
CombineDFs,1468,5,0.002220988339811216,0.0034427966101694915,0.003655793025871766,0.003628244487859336,0.006415094339622641,0.0031424581005586594
total_operators,1468,5,3602.0,3776.0,3556.0,3583.0,2650.0,2864.0
total_pipelines,1468,5,1989.0,2103.0,1998.0,2015.0,1505.0,1619.0
