,dataset,max_time_mins,sampling_ratio0.01,sampling_ratio0.05,sampling_ratio0.1,sampling_ratio0.15,sampling_ratio0.2,sampling_ratio0.3,sampling_ratio0.5,sampling_ratio1.0
GaussianNB,3,5,0.06737072104879825,0.02422306514939775,0.034600957185357654,0.024774774774774775,0.027585039769842612,0.029478649035627053,0.027252575303168602,0.03010279001468429
RandomForestClassifier,3,5,0.031965687464594966,0.13815132761030147,0.08136075540033631,0.06283007145076111,0.0698933829751227,0.09727954181756927,0.10731516494979788,0.09801762114537445
MinMaxScaler,3,5,0.010318038358824957,0.016437079922805617,0.013711033501487517,0.021202236719478098,0.022931122017261805,0.020550829613408574,0.022688746903116442,0.024045521292217327
XGBClassifier,3,5,0.026381807882172047,0.02675184667598323,0.032725391281852284,0.03937558247903075,0.034692841428329665,0.052808894129537605,0.0547659408006259,0.06240822320117474
MultinomialNB,3,5,0.024763292061179897,0.02269248685699075,0.014487129737420773,0.022134203168685928,0.027754273142663734,0.02021393076728712,0.020993610640239926,0.028634361233480177
KNeighborsClassifier,3,5,0.015578214777049446,0.016969454981034138,0.013581684128831975,0.02096924510717614,0.017938737519038756,0.021056177882590753,0.023340722388838178,0.027165932452276064
Nystroem,3,5,0.010115723881200939,0.008584547813934917,0.006014745828482732,0.007533395464429947,0.007953968522592655,0.007748673460793397,0.0074325205372278,0.0078928046989721
BernoulliNB,3,5,0.031965687464594966,0.024289612031676316,0.03647652308886302,0.04193849021435228,0.021492638348282283,0.04767118672618546,0.03142521841178772,0.042033773861967695
MaxAbsScaler,3,5,0.014526179493404548,0.02342450256205497,0.025805199844780753,0.01871699285492389,0.023861905567777966,0.024004042786153458,0.01395227539444517,0.016152716593245228
MLPClassifier,3,5,0.03641660597232338,0.04744792706461702,0.01765618936748157,0.08364398881640261,0.04755457776273481,0.0537353659563716,0.0671534750293389,0.08792217327459619
LinearSVC,3,5,0.14607105284454155,0.025287815265854795,0.04727719570560083,0.0713730972351662,0.05635471314943307,0.052050871725764336,0.03611944190898422,0.022393538913362702
GradientBoostingClassifier,3,5,0.033503277494537506,0.07366739868237174,0.13148363730435908,0.11898105001553277,0.15501776950414622,0.16651225469552766,0.1335245794758117,0.08994126284875184
ExtraTreesClassifier,3,5,0.04365946427126325,0.1568510015305783,0.15877635493467857,0.1036036036036036,0.13267896429175832,0.1145456076812937,0.12035467466423262,0.1422540381791483
