,dataset,max_time_mins,sampling_ratio0.001,sampling_ratio0.01,sampling_ratio0.05,sampling_ratio0.1,sampling_ratio0.15,sampling_ratio0.2,sampling_ratio0.3,sampling_ratio0.5,sampling_ratio1.0
GaussianNB,41150,5,0.08216464622454639,0.025354609929078013,0.03444475062000551,0.027664256523105942,0.031370227878070436,0.03194993412384717,0.041206457094307564,0.04866743916570104,0.048798798798798795
RandomForestClassifier,41150,5,0.08065921876238016,0.14592198581560284,0.08983190961697438,0.0635020433825841,0.03906481207457828,0.05401844532279315,0.06117247238742566,0.05330243337195829,0.0945945945945946
MinMaxScaler,41150,5,0.024641470564931465,0.024113475177304965,0.020942408376963352,0.020748192392329456,0.015685113939035218,0.015480895915678524,0.016142735768903994,0.015063731170336037,0.012762762762762763
XGBClassifier,41150,5,0.046905950400126774,0.09219858156028368,0.13392119041058143,0.10782772712983339,0.11985794613791062,0.06620553359683795,0.07009345794392523,0.06662804171494785,0.07582582582582582
KNeighborsClassifier,41150,5,0.024483004516282388,0.03173758865248227,0.041884816753926704,0.07890600440113171,0.05800532701982835,0.0981554677206851,0.059473237043330504,0.06141367323290846,0.054804804804804805
LinearSVC,41150,5,0.03153474368116631,0.03421985815602837,0.03444475062000551,0.03300848789688777,0.042024267534773604,0.037549407114624504,0.037807986406117246,0.03997682502896872,0.06306306306306306
SelectFwe,41150,5,0.014341177402741462,0.010815602836879433,0.014329016257922293,0.017918893429739076,0.03432968333826576,0.018774703557312252,0.013593882752761258,0.02085747392815759,0.02027027027027027
ExtraTreesClassifier,41150,5,0.11282782663814278,0.07304964539007092,0.10443648387985671,0.1160012574662056,0.12074578277596922,0.12549407114624506,0.0994052676295667,0.0776361529548088,0.09234234234234234
BernoulliNB,41150,5,0.026780762221694003,0.04627659574468085,0.058969413061449434,0.07136120716755737,0.05741343592778929,0.06949934123847168,0.0875106202209006,0.08227114716106605,0.08108108108108109
SGDClassifier,41150,5,0.038031851675778466,0.036170212765957444,0.042711490768806835,0.050927381326626844,0.046463450725066587,0.05303030303030303,0.0751911639762107,0.0996523754345307,0.06606606606606606
MLPClassifier,41150,5,0.04405356152444339,0.04343971631205674,0.062276109120969966,0.055642879597610814,0.05889316365788695,0.055006587615283264,0.0675446049277825,0.06836616454229433,0.06006006006006006
OneHotEncoder,41150,5,0.014341177402741462,0.02074468085106383,0.025902452466244143,0.02452059100911663,0.01479727730097662,0.016798418972332016,0.012744265080713678,0.024913093858632676,0.014264264264264264
FeatureAgglomeration,41150,5,0.005625544727042231,0.005673758865248227,0.006337834114081014,0.0031436655139893115,0.005327019828351583,0.007905138339920948,0.008496176720475786,0.005793742757821553,0.0075075075075075074
DecisionTreeClassifier,41150,5,0.06354488550827984,0.04397163120567376,0.06558280518049049,0.06507387613957875,0.07250665877478545,0.08695652173913043,0.08028887000849617,0.08458864426419467,0.06606606606606606
GradientBoostingClassifier,41150,5,0.15070121226527217,0.15336879432624115,0.06255166712593001,0.06004401131719585,0.07013909440662917,0.052700922266139656,0.06074766355140187,0.05735805330243337,0.06756756756756757
FastICA,41150,5,0.011251089454084462,0.013297872340425532,0.0093689721686415,0.015403961018547626,0.014501331754957087,0.012516469038208168,0.012744265080713678,0.00869061413673233,0.0075075075075075074
Binarizer,41150,5,0.009270263845971,0.00975177304964539,0.011022320198401764,0.010059729644765796,0.010358094110683634,0.012187088274044796,0.008071367884451997,0.009269988412514484,0.00975975975975976
StandardScaler,41150,5,0.025037635686554156,0.016666666666666666,0.010471204188481676,0.006601697579377554,0.00976620301864457,0.010869565217391304,0.0076465590484282074,0.010428736964078795,0.010510510510510511
VarianceThreshold,41150,5,0.017035100229775772,0.01773049645390071,0.015982364287682557,0.009745363093366866,0.011837821840781295,0.013504611330698288,0.015293118096856415,0.011587485515643106,0.00975975975975976
PCA,41150,5,0.010300293162190001,0.011702127659574468,0.013226784238082117,0.008802263439170073,0.015389168393015686,0.018774703557312252,0.009345794392523364,0.015643105446118192,0.016516516516516516
ZeroCount,41150,5,0.019808256081134616,0.012411347517730497,0.01350234224304216,0.018233259981138006,0.013021604024859426,0.009881422924901186,0.015293118096856415,0.014484356894553883,0.008258258258258258
Nystroem,41150,5,0.00776483638380477,0.00673758865248227,0.006613392119041058,0.0069160641307764855,0.009174311926605505,0.012187088274044796,0.010620220900594732,0.013904982618771726,0.009009009009009009
LogisticRegression,41150,5,0.018461294667617464,0.018617021276595744,0.015982364287682557,0.01571832756994656,0.01716484166913288,0.019762845849802372,0.021240441801189464,0.019119351100811123,0.015765765765765764
PolynomialFeatures,41150,5,0.017352032327073923,0.010106382978723405,0.011573436208321852,0.009745363093366866,0.010654039656703166,0.013175230566534914,0.011469838572642312,0.015063731170336037,0.006006006006006006
MaxAbsScaler,41150,5,0.024483004516282388,0.014539007092198582,0.014604574262882336,0.01571832756994656,0.01746078721515241,0.01844532279314888,0.013593882752761258,0.013904982618771726,0.018018018018018018
RBFSampler,41150,5,0.008081768481102924,0.010638297872340425,0.011573436208321852,0.013203395158755108,0.010654039656703166,0.007575757575757576,0.011045029736618521,0.013904982618771726,0.01126126126126126
RFE,41150,5,0.015133507645986847,0.02056737588652482,0.021769082391843483,0.014146494812951903,0.009470257472625037,0.008563899868247694,0.009345794392523364,0.012746234067207415,0.015765765765765764
Normalizer,41150,5,0.015371206718960462,0.01400709219858156,0.015155690272802424,0.01351776171015404,0.023083752589523526,0.019762845849802372,0.018691588785046728,0.009849362688296639,0.010510510510510511
RobustScaler,41150,5,0.018223595594643847,0.016312056737588652,0.015431248277762469,0.013203395158755108,0.015389168393015686,0.01152832674571805,0.02336448598130841,0.008111239860950173,0.009009009009009009
SelectPercentile,41150,5,0.013073449013548847,0.012056737588652482,0.0077156241388812346,0.015089594467148696,0.021012133767386802,0.016139657444005272,0.011469838572642312,0.006373117033603708,0.012012012012012012
CombineDFs,41150,5,0.006814040091910308,0.005141843971631205,0.0038578120694406173,0.008487896887771141,0.0008878366380585972,0.0009881422924901185,0.002973661852166525,0.0005793742757821553,0.0007507507507507507
SelectFromModel,41150,5,0.0012677283891926155,0.0010638297872340426,0.0005511160099200882,0.005972964476579692,0.0002959455460195324,0.0013175230566534915,0.0016992353440951572,0.0011587485515643105,
MultinomialNB,41150,5,0.0006338641945963078,0.0015957446808510637,0.003031138054560485,0.0031436655139893115,0.0032554010062148565,0.0032938076416337285,0.004672897196261682,0.00869061413673233,0.0045045045045045045
total_operators,41150,5,12621.0,5640.0,3629.0,3181.0,3379.0,3036.0,2354.0,1726.0,1332.0
total_pipelines,41150,5,5932.0,3002.0,2018.0,1826.0,1921.0,1745.0,1420.0,1048.0,851.0
