,dataset,max_time_mins,sampling_ratio0.0001,sampling_ratio0.001,sampling_ratio0.01,sampling_ratio0.05,sampling_ratio0.1,sampling_ratio0.15,sampling_ratio0.2,sampling_ratio0.3,sampling_ratio0.5,sampling_ratio1.0
BernoulliNB,"23512, 42468, 1483, 41168, 1468, 41150, 41138, 1169, 1489, 40668, 12, 3, 1596, 23517, 1503",5,0.04832406205151953,0.053299149744436516,0.05169366393940366,0.054973986406494375,0.054933497981157244,0.05956935852190333,0.06131261307895897,0.06701894717480888,0.06690912075748859,0.07051801938093417
Binarizer,"23512, 42468, 1483, 41168, 1468, 41150, 41138, 1169, 1489, 40668, 12, 3, 1596, 23517, 1503",5,0.010218015509761728,0.017674770351478058,0.012765436150383315,0.011249019469742971,0.0097641014568921,0.009140506992243325,0.010817260188724503,0.009808762635043801,0.010282979286812485,0.008024471905418117
CombineDFs,"23512, 42468, 1483, 41168, 1468, 41150, 41138, 1169, 1489, 40668, 12, 3, 1596, 23517, 1503",5,0.010973549595796226,0.010258766776043605,0.010178656715666827,0.005071420358587147,0.004834456353552713,0.0038875831056571597,0.0037175400733932785,0.0030441822318782053,0.002447905341755555,0.0020914665386717363
DecisionTreeClassifier,"23512, 42468, 1483, 41168, 1468, 41150, 41138, 1169, 1489, 40668, 12, 3, 1596, 23517, 1503",5,0.11326333817159333,0.11624908476952893,0.07380376228890134,0.0642348508125459,0.06635306141306277,0.06796887950714574,0.06898228658463901,0.06300152616289939,0.07320451479852445,0.06383362362313127
ExtraTreesClassifier,"23512, 42468, 1483, 41168, 1468, 41150, 41138, 1169, 1489, 40668, 12, 3, 1596, 23517, 1503",5,0.08034125565730475,0.07147221393071082,0.08016284523106477,0.1015125578224522,0.10359133165675692,0.09689326370459178,0.09831038419552009,0.09190733930473326,0.08341164242190885,0.0840307859923945
FastICA,"23512, 42468, 1483, 41168, 1468, 41150, 41138, 1169, 1489, 40668, 12, 3, 1596, 23517, 1503",5,0.0069000689853301695,0.011891403630884761,0.012587645710324462,0.011033244800221916,0.010931358868710635,0.012188133850603113,0.01068201990868424,0.012011528395430768,0.011145370048073915,0.010490446249401302
FeatureAgglomeration,"23512, 42468, 1483, 41168, 1468, 41150, 41138, 1169, 1489, 40668, 12, 3, 1596, 23517, 1503",5,0.008944654068413143,0.007842389367881156,0.005662503873219246,0.0060481917452025954,0.0058763441054508255,0.005752764652340852,0.005795290658190162,0.006209579245473203,0.006472314446392512,0.006787950407771609
GaussianNB,"23512, 42468, 1483, 41168, 1468, 41150, 41138, 1169, 1489, 40668, 12, 3, 1596, 23517, 1503",5,0.053703394086017604,0.05091001510164167,0.05418586139128899,0.04723695067752658,0.05093368334155865,0.0505625350959773,0.049213571717616325,0.051502223467436305,0.05100761241945304,0.04662651364221369
GradientBoostingClassifier,"23512, 42468, 1483, 41168, 1468, 41150, 41138, 1169, 1489, 40668, 12, 3, 1596, 23517, 1503",5,0.03836508185766083,0.07372052584420025,0.08289236743759558,0.06911576412738206,0.06619125522882538,0.06706964164617858,0.0733288172620174,0.07061261155161701,0.0669416005845792,0.07068678671850756
KNeighborsClassifier,"23512, 42468, 1483, 41168, 1468, 41150, 41138, 1169, 1489, 40668, 12, 3, 1596, 23517, 1503",5,0.08139403365322602,0.0336632420374903,0.04091361984100857,0.052939849528902294,0.058637647128019825,0.0563700305038841,0.06136113360471459,0.05610745817250173,0.05601704934243793,0.060594644374906914
